×éºÏID,¸÷Ä¿±ê²ÄÁÏ¸ùÊı,¸÷Ä¿±ê²ÄÁÏË³Ğò,ÇĞ¸î×é×°³¤¶È
136,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
137,"3110: 5, 4340: 5, 5310: 2","[3110, 4340, 3110, 4340, 3110, 5310, 5310, 4340, 4340, 4340, 3110, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(2900), np.int64(3110), np.int64(5310), np.int64(680)], [np.int64(4630), np.int64(4340), np.int64(3030)], [np.int64(1310), np.int64(4340), np.int64(3110), np.int64(3110), np.int64(130)]]"
138,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
139,"5310: 1, 3110: 6","[5310, 3110, 3110, 3110, 3110, 3110, 3110]","[[np.int64(5310), np.int64(3110), np.int64(3110), np.int64(470)], [np.int64(2640), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(30)]]"
140,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
141,"4340: 5, 3110: 5, 5310: 2","[4340, 3110, 4340, 4340, 4340, 3110, 5310, 5310, 4340, 3110, 3110, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3110), np.int64(420)], [np.int64(4890), np.int64(5310), np.int64(1800)], [np.int64(2540), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(130)]]"
142,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
143,"3110: 6, 5310: 1","[3110, 3110, 3110, 3110, 5310, 3110, 3110]","[[np.int64(3110), np.int64(3110), np.int64(3110), np.int64(2670)], [np.int64(440), np.int64(5310), np.int64(3110), np.int64(3110), np.int64(30)]]"
144,"3110: 7, 4340: 6","[3110, 4340, 3110, 3110, 4340, 3110, 4340, 4340, 3110, 4340, 3110, 4340, 3110]","[[np.int64(3110), np.int64(4340), np.int64(3110), np.int64(1440)], [np.int64(1670), np.int64(4340), np.int64(3110), np.int64(2880)], [np.int64(1460), np.int64(4340), np.int64(3110), np.int64(3090)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
145,"4340: 6, 3110: 7","[4340, 3110, 4340, 4340, 4340, 4340, 3110, 3110, 3110, 3110, 3110, 4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(4340), np.int64(210)], [np.int64(4130), np.int64(4340), np.int64(3530)], [np.int64(810), np.int64(3110), np.int64(3110), np.int64(3110), np.int64(1860)], [np.int64(1250), np.int64(3110), np.int64(4340), np.int64(3110), np.int64(190)]]"
146,"4340: 1, 3110: 1","[4340, 3110]","[[np.int64(4340), np.int64(3110), np.int64(3110), np.int64(1440)]]"
